trip_id,min
1307209,60
1326559,60
1240031,60
1281272,60
1215074,60
1120267,60
1217530,60
1223132,60
1272490,60
1169686,60
1210244,60
1185008,60
1019313,60
1118729,60
1011650,60
1206400,60
1116337,60
1174367,60
1128671,60
1251962,60
1165084,60
1327676,60
